taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AKA63352|Schmallenberg_virus	AKA63352	Schmallenberg virus	BH652/12	2012	Bos taurus	Germany	Europe	Simbu
AGD94655|Schmallenberg_virus	AGD94655	Schmallenberg virus	Na2-BHK21-P10	2012	sheep	Belgium	Europe	Simbu
AGD94654|Schmallenberg_virus	AGD94654	Schmallenberg virus	Na2-BHK21-P2	2012	sheep	Belgium	Europe	Simbu
AGD94653|Schmallenberg_virus	AGD94653	Schmallenberg virus	Na2-CNS	2012	sheep	Belgium	Europe	Simbu
AGD94652|Schmallenberg_virus	AGD94652	Schmallenberg virus						Simbu
AGD94650|Schmallenberg_virus	AGD94650	Schmallenberg virus	Na1-CNS	2012	sheep	Belgium	Europe	Simbu
AGD94651|Schmallenberg_virus	AGD94651	Schmallenberg virus						Simbu
AVK60046|Schmallenberg_virus	AVK60046	Schmallenberg virus	PL_13_130-6_ovis	2013	Ovis aries	Poland	Europe	Simbu
BCH47627|Schmallenberg_orthobunyavirus	BCH47627	Schmallenberg orthobunyavirus	GB/697/2012	2012	Ovis aries	United Kingdom	Europe	Simbu
AGU16231|Schmallenberg_virus	AGU16231	Schmallenberg virus	HL1	2011	Ovis aries	Netherlands	Europe	Simbu
AKA63353|Schmallenberg_virus	AKA63353	Schmallenberg virus	BH619/12	2012	Bos taurus	Germany	Europe	Simbu
AKA63350|Schmallenberg_virus	AKA63350	Schmallenberg virus	BH119/14-3/4	2014	Bos taurus	Germany	Europe	Simbu
AKA63349|Schmallenberg_virus	AKA63349	Schmallenberg virus	BH119/14-1/2	2014	Bos taurus	Germany	Europe	Simbu
AKA63354|Schmallenberg_virus	AKA63354	Schmallenberg virus	BH132/14	2014	Bos taurus	Germany	Europe	Simbu
AVK60045|Schmallenberg_virus	AVK60045	Schmallenberg virus	PL_12_1018-8_bov	2012	Bos taurus	Poland	Europe	Simbu
AQY63036|Schmallenberg_virus	AQY63036	Schmallenberg virus	SBV-Hun4	2012	Bos taurus	Hungary	Europe	Simbu
