taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AEK05552|Chatanga_virus	53	AEK05552	Chatanga virus	LEIV-22712	NA	Aedes communis (mosquito)	Russia: Tyumen region	Europe	California
AHI87722|Chatanga_virus	117	AHI87722	Chatanga virus	Mohko ILO8-3	2008	NA	Finland	Europe	California
AHI87725|Chatanga_virus	118	AHI87725	Chatanga virus	Mohko M07-1	2007	NA	Finland	Europe	California
AHI87728|Chatanga_virus	119	AHI87728	Chatanga virus	Mohko M07-2-83	2007	NA	Finland	Europe	California
AHI87731|Chatanga_virus	120	AHI87731	Chatanga virus	Mohko M07-2-84	2007	NA	Finland	Europe	California
AHI87734|Chatanga_virus	121	AHI87734	Chatanga virus	Mohko S07-2	2007	NA	Finland	Europe	California
ANW09504|Chatanga_virus	275	ANW09504	Chatanga virus	LEIV-10944Vol	1985	Aedes sp. (mosquito)	Russia: Vologda district	Europe	California
ANW09507|Chatanga_virus	276	ANW09507	Chatanga virus	LEIV-11430Kar	1985	Aedes communis (mosquito)	Russia: Karelia	Europe	California
ANW09510|Chatanga_virus	277	ANW09510	Chatanga virus	LEIV-21845Kra	1989	Aedes sp. (mosquito)	Russia: Krasnoyarsk district	Europe	California
ANW09513|Chatanga_virus	278	ANW09513	Chatanga virus	LEIV-12812Kln	1986	Aedes sp. (mosquito)	Russia: Tver district	Europe	California
ANW09516|Chatanga_virus	279	ANW09516	Chatanga virus	LEIV-13262Kam	1987	Aedes vexans	Russia: Kamchatka	Europe	California
ANW09519|Chatanga_virus	280	ANW09519	Chatanga virus	LEIV-17835Yak	1988	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
ANW09522|Chatanga_virus	281	ANW09522	Chatanga virus	LEIV-18739Yak	1988	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
AVR54980|Chatanga_virus	369	AVR54980	Chatanga virus	LEIV-25152	1991	Aedes sp.	Russia: region Altai	Europe	California
QKE53103|Cristoli_virus	554	QKE53103	Cristoli virus	13032019	2019	Homo sapiens	France	Europe	Turlock
QCT81359|Douglas_virus	524	QCT81359	Douglas virus	cs400	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81360|Douglas_virus	525	QCT81360	Douglas virus	cs1059	1981	Bos taurus	Australia	Oceania	Simbu
AIA08883|Ebinur_lake_virus	136	AIA08883	Ebinur lake virus	Cu20-XJ	2013	NA	China	Asia	Bunyamwera
ALS54742|El_Huayo_virus	259	ALS54742	El Huayo virus	IQT110	2013	Culex portesi	Peru	South America	Group C
AMR98952|Enseada_virus	266	AMR98952	Enseada virus	76V-25880	1976	Culex epanatasis	"Brazil: Cananeia Town, Sao Paulo State"	South America	Ungrouped
QLA46971|Enseada_virus	579	QLA46971	Enseada virus	78V213	1976	Culex epanatasis	Brazil	South America	Ungrouped
YP_009666945|Enseada_virus	684	YP_009666945	Enseada virus	76V-25880	1976	Culex epanatasis	"Brazil: Cananeia Town, Sao Paulo State"	South America	Ungrouped
AHY22330|Faceys_Paddock_virus	123	AHY22330	Faceys Paddock virus	Aus Ch 16129	1974	mosquito	Australia	Oceania	Simbu
YP_010085068|Faceys_Paddock_virus	699	YP_010085068	Faceys Paddock virus	Aus Ch 16129	1974	mosquito	Australia	Oceania	Simbu
QJQ29397|Fort_Sherman_orthobunyavirus	553	QJQ29397	Fort Sherman orthobunyavirus	Barreiras	2018	horse	Brazil	South America	Bunyamwera
ARI46658|Fort_Sherman_virus	331	ARI46658	Fort Sherman virus	86MSP18	1985	Homo sapiens	Panama	North America	Bunyamwera
AXP32014|Fort_Sherman_virus	423	AXP32014	Fort Sherman virus	86MSP18	1985	Homo sapiens; 36 yr AD male	Panama	North America	Bunyamwera
YP_009666949|Fort_Sherman_virus	685	YP_009666949	Fort Sherman virus	86MSP18	1985	Homo sapiens	Panama	North America	Bunyamwera
AIS74634|Gamboa_virus	153	AIS74634	Gamboa virus	GML 435718	1986	Aedeomyia squamipennis	Panama: Colon	North America	Gamboa
AIS74635|Gamboa_virus	154	AIS74635	Gamboa virus	GML 903023	1977	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
AIS74636|Gamboa_virus	155	AIS74636	Gamboa virus	MARU 10962	1962	Aedeomyia squamipennis	Panama: Panama State	North America	Gamboa
AMD82973|Gamboa_virus	260	AMD82973	Gamboa virus	GAM_118	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AMD82974|Gamboa_virus	261	AMD82974	Gamboa virus	GAM_122	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AMD82975|Gamboa_virus	262	AMD82975	Gamboa virus	GAM_130	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
AMD82976|Gamboa_virus	263	AMD82976	Gamboa virus	GAM_131	2012	Aedeomyia squamipennis	"Panama: Central Panama, Soberania National Park"	North America	Gamboa
ATB53295|Gamboa_virus	348	ATB53295	Gamboa virus	BeAn448848	1986	Geotrygon montana	Brazil	South America	Gamboa
ATB53296|Gamboa_virus	349	ATB53296	Gamboa virus	BeAr502380	1986	Aedeomyia squamipennis	Brazil	South America	Gamboa
ATB53297|Gamboa_virus	350	ATB53297	Gamboa virus	BeAr503385	1991	Aedeomyia squamipennis	Brazil	South America	Gamboa
ATB53298|Gamboa_virus	351	ATB53298	Gamboa virus	GML382716	1985	Aedeomyia squamipennis	Panama	North America	Gamboa
ATB53299|Gamboa_virus	352	ATB53299	Gamboa virus	GML438524	1987	Aedeomyia squamipennis	Panama	North America	Gamboa
ATB53301|Gamboa_virus	354	ATB53301	Gamboa virus	TRVL61469	1964	Aedes sp.	Suriname	South America	Gamboa
AVG72380|Gamboa_virus	365	AVG72380	Gamboa virus	BeAn439546	1985	Columbidae	Brazil	South America	Gamboa
QLA46964|Gamboa_virus	578	QLA46964	Gamboa virus	75V20086	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
YP_009507871|Gamboa_virus	663	YP_009507871	Gamboa virus	GML 435718	1986	Aedeomyia squamipennis	Panama: Colon	North America	Gamboa
ALQ43836|Gan_Gan_virus	258	ALQ43836	Gan Gan virus	NB6057	1970	Aedes vigilax	Australia	Oceania	Mapputta
AOZ21156|Gan_Gan_virus	283	AOZ21156	Gan Gan virus	K42904	2000	Aedes vigilax	"Australia: Derby, Western Australia"	Oceania	Mapputta
APF29571|Gan_Gan_virus	295	APF29571	Gan Gan virus	12005	1992	Aedes vigilax	Austrailia	Oceania	Mapputta
AKO90159|Guajara_orthobunyavirus	207	AKO90159	Guajara orthobunyavirus	BeAn 10615	1959	Mus musculus	Brazil	South America	Capim
QLA46960|Guajara_orthobunyavirus	577	QLA46960	Guajara orthobunyavirus	18315	1975	Mesocricetus auratus	Ecuador	South America	Capim
YP_009507877|Guajara_orthobunyavirus	664	YP_009507877	Guajara orthobunyavirus	BeAn 10615	1959	Mus musculus	Brazil	South America	Capim
AKO90160|Guama_virus	208	AKO90160	Guama virus	BeAn 277	1955	Cebus apella	Brazil	South America	Guama
YP_009507879|Guama_virus	665	YP_009507879	Guama virus	BeAn 277	1955	Cebus apella	Brazil	South America	Guama
QLA47070|Guaratuba_virus	603	QLA47070	Guaratuba virus	76V25271	1976	Culex taeniopus	Brazil	South America	Guama
AEZ35282|Guaroa_virus	65	AEZ35282	Guaroa virus	BeH22063	1960	Homo sapiens	Brazil	South America	California
AKC42478|Guaroa_virus	189	AKC42478	Guaroa virus	ASA1165	2011	Homo sapiens	Peru	South America	California
AKC42482|Guaroa_virus	190	AKC42482	Guaroa virus	FSJ2035	2011	Homo sapiens	Peru	South America	California
AKC42486|Guaroa_virus	191	AKC42486	Guaroa virus	FPI01900	2011	Homo sapiens	Peru	South America	California
AKC42490|Guaroa_virus	192	AKC42490	Guaroa virus	FVB2032	2009	Homo sapiens	Bolivia	South America	California
AKC42494|Guaroa_virus	193	AKC42494	Guaroa virus	FVB0849	2009	Homo sapiens	Bolivia	South America	California
AKC42498|Guaroa_virus	194	AKC42498	Guaroa virus	FVB0840	2009	Homo sapiens	Bolivia	South America	California
AKC42502|Guaroa_virus	195	AKC42502	Guaroa virus	MIS0239	2008	Homo sapiens	Peru	South America	California
AKC42506|Guaroa_virus	196	AKC42506	Guaroa virus	OBT5637	2007	Homo sapiens	Peru	South America	California
AKC42510|Guaroa_virus	197	AKC42510	Guaroa virus	FVB0546	2007	Homo sapiens	Bolivia	South America	California
AKC42514|Guaroa_virus	198	AKC42514	Guaroa virus	IQD8537	2004	Homo sapiens	Peru	South America	California
AKC42519|Guaroa_virus	199	AKC42519	Guaroa virus	BeH22063	1960	Homo sapiens	Brazil	South America	California
AKC42523|Guaroa_virus	200	AKC42523	Guaroa virus	CoH352111	1956	Homo sapiens (asymptomatic)	Colombia	South America	California
YP_009362061|Guaroa_virus	653	YP_009362061	Guaroa virus	BeH22063	1960	Homo sapiens	Brazil	South America	California
AKB96244|Gumbo_Limbo_virus	185	AKB96244	Gumbo Limbo virus	Fe371H2	1963	Culex (Melanoconium) sp.	USA	North America	Group C
QLA46957|Gumbo_Limbo_virus	576	QLA46957	Gumbo Limbo virus	FE3-71H	1963	Culex sp.	USA	North America	Group C
AED98377|I612045_virus	46	AED98377	I612045 virus	NA	1961	NA	India	Asia	Tete
AEZ35258|Iaco_virus	57	AEZ35258	Iaco virus	BeAn314206	1976	Wyeomyia spp.	Brazil	South America	Wyeomyia
YP_009666893|Iaco_virus	673	YP_009666893	Iaco virus	BeAn314206	1976	NA	Brazil	South America	Bunyamwera
AGM34025|Ilesha_virus	86	AGM34025	Ilesha virus	ILESHA/8e	1972	NA	Senegal	Africa	Bunyamwera
AGU99597|Ilesha_virus	94	AGU99597	Ilesha virus	R5964	1964	Homo sapiens	Nigeria	Africa	Bunyamwera
QNS29913|Ilesha_virus	613	QNS29913	Ilesha virus	KO/2	1967	Homo sapiens	Nigeria: Ilesha	Africa	Bunyamwera
YP_009666916|Ilesha_virus	679	YP_009666916	Ilesha virus	NA	NA	NA	NA	Africa	Bunyamwera
ATI21270|Infirmatus_virus	360	ATI21270	Infirmatus virus	Tampa 08	2008	Aedes infirmatus	USA	North America	California
AHY22331|Ingwavuma_virus	124	AHY22331	Ingwavuma virus	SA An 4165	1959	Hyphanturgus ocularis	South Africa	Africa	Simbu
YP_009666917|Ingwavuma_virus	680	YP_009666917	Ingwavuma virus	SA An 4165	1959	Hyphanturgus ocularis	South Africa	Africa	Simbu
ACF10362|Inkoo_virus	13	ACF10362	Inkoo virus	KN3641	1964	Aedes communis (punctor mosquito)	Finland	Europe	California
ANW09486|Inkoo_virus	270	ANW09486	Inkoo virus	LEIV-15248Iv	1973	Aedes sp. (mosquito)	Russia: Ivanovo district	Europe	California
ANW09489|Inkoo_virus	271	ANW09489	Inkoo virus	LEIV-18154Yak	1989	Aedes sp. (mosquito)	Russia: Yakutsk district	Europe	California
ANW09495|Inkoo_virus	272	ANW09495	Inkoo virus	LEIV-22780Tyum	1990	Aedes sp. (mosquito)	Russia: Tyumen district	Europe	California
ANW09498|Inkoo_virus	273	ANW09498	Inkoo virus	LEIV-18152Yak	1988	Aedes nigripes (mosquito)	Russia: Yakutsk district	Europe	California
ANW09501|Inkoo_virus	274	ANW09501	Inkoo virus	LEIV-21643Kra	1989	Aedes sp. (mosquito)	Russia: Krasnoyarsk district	Europe	California
AOS59868|Inkoo_virus	282	AOS59868	Inkoo virus	Lovanger	2015	Ochlerotatus communis; adult mosquito	Sweden: Vasterbotten	Europe	California
AHY22332|Iquitos_virus	125	AHY22332	Iquitos virus	IQT9924	1999	Homo sapiens	Peru	South America	Simbu
AIK67307|Iquitos_virus	138	AIK67307	Iquitos virus	MIS-0397	2009	Homo sapiens	Peru: Lima	South America	Simbu
AVX48954|Itaqui_virus	374	AVX48954	Itaqui virus	BeAn12797	1959	sentinel mouse	Brazil	South America	Group C
QLA46950|Itaqui_virus	575	QLA46950	Itaqui virus	BeAn 12797	1959	Mus musculus	Brazil	South America	Group C
AJZ73167|Itaya_virus	177	AJZ73167	Itaya virus	IQT9646	1999	Homo sapiens	Peru: Iquitos	South America	Group C
QLA47067|Itimirim_virus	602	QLA47067	Itimirim virus	SPAn 47817	1976	Oryzomys sp.	Brazil	South America	Guama
ADK36669|Jamestown_Canyon_virus	38	ADK36669	Jamestown Canyon virus	61V2235	1961	Culiseta inornata	USA	North America	California
ADK36670|Jamestown_Canyon_virus	39	ADK36670	Jamestown Canyon virus	611112	2003	Ochlerotatus abserratus	USA	North America	California
ADK36671|Jamestown_Canyon_virus	40	ADK36671	Jamestown Canyon virus	520198	2004	Ochlerotatus canadensis	USA	North America	California
APA29009|Jamestown_Canyon_virus	291	APA29009	Jamestown Canyon virus	61V2235	1961	Culiseta inornata	USA: Colorado	North America	California
AXZ96238|Jamestown_Canyon_virus	456	AXZ96238	Jamestown Canyon virus	L36708	1966	Ochlerotatus abserratus	"USA: Simsbury, CT"	North America	California
AXZ96242|Jamestown_Canyon_virus	457	AXZ96242	Jamestown Canyon virus	MN256-260	1979	Aedes sp.	Canada: Manitoba	North America	California
QCF29631|Jamestown_Canyon_virus	476	QCF29631	Jamestown Canyon virus	NM5-4BU	1977	Culiseta inornata	USA: New Mexico	North America	California
QEI47191|Jamestown_Canyon_virus	539	QEI47191	Jamestown Canyon virus	16/MA/01	2016	Ochlerotatus canadensis	"USA: Bristol County, Massachusetts"	North America	California
QRX38889|Jamestown_Canyon_virus	616	QRX38889	Jamestown Canyon virus	JCV_B155_CSF_L	2018	Homo sapiens	USA	North America	California
QRX38890|Jamestown_Canyon_virus	617	QRX38890	Jamestown Canyon virus	JCV_B155_Cortex_frozen_L	2018	Homo sapiens	USA	North America	California
QRX38891|Jamestown_Canyon_virus	618	QRX38891	Jamestown Canyon virus	JCV_B155_Cortex_FFPE_L	2018	Homo sapiens	USA	North America	California
QRX38892|Jamestown_Canyon_virus	619	QRX38892	Jamestown Canyon virus	JCV_B155_Cerebellum_frozen_L	2018	Homo sapiens	USA	North America	California
QRX38893|Jamestown_Canyon_virus	620	QRX38893	Jamestown Canyon virus	JCV_B155_Cerebellum_FFPE_L	2018	Homo sapiens	USA	North America	California
YP_009666884|Jamestown_Canyon_virus	671	YP_009666884	Jamestown Canyon virus	61V2235	1961	Culiseta inornata	USA	North America	California
AFI24668|Jatobal_virus	69	AFI24668	Jatobal virus	BeAn 423380	1984	Nasua nasua	Brazil	South America	Simbu
YP_009666904|Jatobal_virus	676	YP_009666904	Jatobal virus	BeAn 423380	1984	Nasua nasua	Brazil	South America	Simbu
APA29005|Jerry_Slough_virus	290	APA29005	Jerry Slough virus	BFS 4474	1963	Culiseta inornata	USA: California	North America	California
QLA47064|Juan_Diaz_virus	601	QLA47064	Juan Diaz virus	MARU 8563	1962	mouse (sentinel)	Panama	North America	Capim
AIN37025|Kaeng_Khoi_virus	149	AIN37025	Kaeng Khoi virus	PSC-19	1969	Tadarida plicata	Thailand	Asia	Nyando
ASG81437|Kaeng_Khoi_virus	339	ASG81437	Kaeng Khoi virus	WDBC1210	2012	bat fly	China: Yunnan	Asia	Nyando
AYF57697|Kaeng_Khoi_virus	461	AYF57697	Kaeng Khoi virus	WDBC1403	2014	Eucampsipoda sundaica	China	Asia	Nyando
YP_009362074|Kaeng_Khoi_virus	658	YP_009362074	Kaeng Khoi virus	PSC-19	1969	Tadarida plicata	Thailand	Asia	Nyando
AXP32018|Kaikalur_virus	424	AXP32018	Kaikalur virus	VRC 713423-2	1971	Culex tritaeniorhynchus	"India: Kaikalur, Andhra Prov."	Asia	Simbu
ALC78364|Kairi_virus	233	ALC78364	Kairi virus	BeAr8226	1957	Ochlerotatus scapularis	Brazil	South America	Bunyamwera
AXP32022|Kairi_virus	425	AXP32022	Kairi virus	TRVL 8900	1955	Ochlerotatus scapularis	"Trinidad and Tobago: Melajo Forest, Northeast Trinidad"	South America	Bunyamwera
AXU40903|Kairi_virus	451	AXU40903	Kairi virus	TR8900	2018	NA	United Kingdom	Europe	Bunyamwera
YP_009507881|Kairi_virus	666	YP_009507881	Kairi virus	BeAr8226	1957	Ochlerotatus scapularis	Brazil	South America	Bunyamwera
QLA47061|Ketapang_virus	600	QLA47061	Ketapang virus	MM 2549	1956	Culex (Lophoceraomyia) sp.	Malaysia	Asia	Bakau
ALD52502|Keystone_virus	234	ALD52502	Keystone virus	KEYV/Ochlerotatus atlanticus/USA/KEYVLK01/2005	2005	Ochlerotatus atlanticus	"USA: Sarasota County, FL"	North America	California
ALD52506|Keystone_virus	235	ALD52506	Keystone virus	KEYV/Ochlerotatus atlanticus/USA/KEYVLK02/2005	2005	Ochlerotatus atlanticus	"USA: Sarasota County, FL"	North America	California
APA29001|Keystone_virus	289	APA29001	Keystone virus	B64-5587.05	1964	Ochlerotatus cf. atlanticus/tormentor	USA: Florida	North America	California
AWK60687|Keystone_virus	379	AWK60687	Keystone virus	KEYV/Homo sapiens/Gainesville-1/2016	2016	Homo sapiens	USA	North America	California
AXY55018|Keystone_virus	453	AXY55018	Keystone virus	AVA1709441	2017	Culex sp.	"USA: Orange county, Texas"	North America	California
AXY55025|Keystone_virus	455	AXY55025	Keystone virus	AR14033	2016	Culex sp.	USA: Texas	North America	California
QLI33838|Keystone_virus	612	QLI33838	Keystone virus	KEYV/mosquito/St. John's County-FL/2019	2019	Ochlerotatus atlanticus (tormentor mosquitoes)	USA	North America	California
QYJ10034|Keystone_virus	628	QYJ10034	Keystone virus	KEYV/mosquito/St. John's County-FL-2/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
QYJ10035|Keystone_virus	629	QYJ10035	Keystone virus	KEYV/mosquito/St. John's County-FL-3/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
QYJ10036|Keystone_virus	630	QYJ10036	Keystone virus	KEYV/mosquito/St. John's County-FL-4/2019	2019	Ochlerotatus atlanticus; female	"USA: St. John's County, Florida"	North America	California
YP_009666964|Keystone_virus	687	YP_009666964	Keystone virus	B64-5587.05	1964	Ochlerotatus cf. atlanticus/tormentor	USA: Florida	North America	California
AHL27169|Khurdun_virus	1	AHL27169	Khurdun virus	LEIV-Ast01-6	2001	Fulica atra	"Russia: Volga river delta, Astrakhan district"	Europe	NA
AKO90161|Koongol_virus	209	AKO90161	Koongol virus	MRM31	1960	Culex annulirostris	Australia	Oceania	Koongol
AMR73391|Kowanyama_virus	264	AMR73391	Kowanyama virus	MRM1243	1963	Anopheles amictus	Australia	Oceania	Ungrouped
AAA62607|La_Crosse_virus	2	AAA62607	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
AAM94387|La_Crosse_virus	3	AAM94387	La Crosse virus	Human/78	1978	NA	USA	North America	California
AAO33758|La_Crosse_virus	5	AAO33758	La Crosse virus	La Crosse/original	NA	NA	USA	North America	California
ABB05227|La_Crosse_virus	6	ABB05227	La Crosse virus	77	1977	NA	USA	North America	California
ABQ12631|La_Crosse_virus	7	ABQ12631	La Crosse virus	LACV/human/1960	1960	NA	USA: Minnesota	North America	California
ABQ12635|La_Crosse_virus	8	ABQ12635	La Crosse virus	LACV/human/1978	1978	NA	USA: Wisconsin	North America	California
ABQ12639|La_Crosse_virus	9	ABQ12639	La Crosse virus	LACV/mosquito/1978	1978	NA	USA: North Carolina	North America	California
ADE28876|La_Crosse_virus	17	ADE28876	La Crosse virus	BEN_Lafayette_WI_2007	2007	Aedes triseriatus (mosquito)	"USA: Lafayette, WI"	North America	California
ADE28877|La_Crosse_virus	18	ADE28877	La Crosse virus	NAT_Crawford_WI_2007	2007	Aedes triseriatus (mosquito)	"USA: Crawford, WI"	North America	California
ADE28878|La_Crosse_virus	19	ADE28878	La Crosse virus	SVP_Vernon_WI_2006	2006	Aedes triseriatus (mosquito)	"USA: Vernon, WI"	North America	California
ADE28879|La_Crosse_virus	20	ADE28879	La Crosse virus	NAT_Crawford_WI_2006	2006	Aedes triseriatus (mosquito)	"USA: Crawford, WI"	North America	California
ADE28880|La_Crosse_virus	21	ADE28880	La Crosse virus	CGA_Houston_MN_2007	2007	Aedes triseriatus (mosquito)	"USA: Houston, MN"	North America	California
ADG01815|La_Crosse_virus	22	ADG01815	La Crosse virus	Dallas/TX/2009	2009	Aedes albopictus	"USA: Dallas, TX"	North America	California
ADG01816|La_Crosse_virus	23	ADG01816	La Crosse virus	Fort Bend County/TX/2009	2009	Aedes sp.	"USA: Fort Bend County, TX"	North America	California
ADH04735|La_Crosse_virus	24	ADH04735	La Crosse virus	LACV/06/NY(2)-M (06MS350140)	2006	mosquito	USA: New York	North America	California
ADH04736|La_Crosse_virus	25	ADH04736	La Crosse virus	LACV/00/NC-M (NC00-283)	2000	mosquito	USA: North Carolina	North America	California
ADH04737|La_Crosse_virus	26	ADH04737	La Crosse virus	LACV/67/NY-M (67-8109)	1967	mosquito	USA: New York	North America	California
ADH04738|La_Crosse_virus	27	ADH04738	La Crosse virus	LACV/06/NY(1)-M (06MS2900303)	2006	mosquito	USA: New York	North America	California
ADH04739|La_Crosse_virus	28	ADH04739	La Crosse virus	LACV/06/NY(3)-M (06MS270036)	2006	mosquito	USA: New York	North America	California
ADH04740|La_Crosse_virus	29	ADH04740	La Crosse virus	LACV/00/WV-M (WV00-3178)	2000	mosquito	USA: West Virginia	North America	California
ADH04741|La_Crosse_virus	30	ADH04741	La Crosse virus	LACV/96/WV-M (WV96-3955)	1996	mosquito	USA: West Virginia	North America	California
ADH04742|La_Crosse_virus	31	ADH04742	La Crosse virus	LACV/74/NY-M (74-32813)	1974	mosquito	USA: New York	North America	California
ADH04743|La_Crosse_virus	32	ADH04743	La Crosse virus	LACV/93/MO-H	1993	Homo sapiens	USA: Missouri	North America	California
ADH04744|La_Crosse_virus	33	ADH04744	La Crosse virus	LACV/95/OH-H (CCH-MB96)	1995	Homo sapiens	USA: Ohio	North America	California
ADH04745|La_Crosse_virus	34	ADH04745	La Crosse virus	LACV/95/WV-H	1995	Homo sapiens	USA: West Virginia	North America	California
ADH04746|La_Crosse_virus	35	ADH04746	La Crosse virus	LACV/03/NY-M (41030016)	2003	mosquito	USA: New York	North America	California
ADH04747|La_Crosse_virus	36	ADH04747	La Crosse virus	LACV/97/NC-M (NC97-7306)	1997	mosquito	USA: North Carolina	North America	California
ADH04748|La_Crosse_virus	37	ADH04748	La Crosse virus	LACV/65/OH-M (W17258)	1965	mosquito	USA: Ohio	North America	California
AKP04421|La_Crosse_virus	218	AKP04421	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
AKP04422|La_Crosse_virus	219	AKP04422	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
AKP04423|La_Crosse_virus	220	AKP04423	La Crosse virus	NA	2012	Aedes triseriatus	USA	North America	California
NP_671968|La_Crosse_virus	474	NP_671968	La Crosse virus	Human/78	1979	Homo sapiens	USA	North America	California
ARI46630|Laguna_Larga_virus	325	ARI46630	Laguna Larga virus	CbaAr 426	1965	Ochlerotatus albifasciatus	Argentina	South America	Bunyamwera
QLA47057|Las_Maloyas_virus	599	QLA47057	Las Maloyas virus	AG80-24	1980	Anopheles albitarsis	Argentina	South America	Anopheles A
AEA02985|Leanyer_virus	45	AEA02985	Leanyer virus	AusN16701	1974	Anopheles meraukensis	"Australia: Leanyer, Northern Territory"	Oceania	Ungrouped
QCT81361|Leanyer_virus	526	QCT81361	Leanyer virus	cs0002	1984	Culicoides sp.	Australia	Oceania	Ungrouped
QCT81362|Leanyer_virus	527	QCT81362	Leanyer virus	cs0010	1974	mixed Culicoides species	Australia	Oceania	Ungrouped
QCT81363|Leanyer_virus	528	QCT81363	Leanyer virus	cs503	1974	Culicoides sp.	Australia	Oceania	Ungrouped
QFR36985|Lednice_virus	545	QFR36985	Lednice virus	110	1963	Culex modestus	Czechoslovakia	Europe	Turlock
QFR36986|Lednice_virus	546	QFR36986	Lednice virus	6101	1972	Culex modestus	Czechoslovakia	Europe	Turlock
QFR36987|Lednice_virus	547	QFR36987	Lednice virus	6118	1972	Culex modestus	Czechoslovakia	Europe	Turlock
QLA46946|Lednice_virus	574	QLA46946	Lednice virus	6118	1963	Culex modestus	Czechoslovakia	Europe	Turlock
QSW03630|Lichuan_virus	626	QSW03630	Lichuan virus	JXLC1806-2	2018	midges	China	Asia	Tete
AXN72392|Lokern_virus	415	AXN72392	Lokern virus	FMS 4332	1962	Culex tarsalis	USA	North America	Bunyamwera
AXP32026|Lokern_virus	426	AXP32026	Lokern virus	A 10391	NA	NA	NA	NA	Bunyamwera
AKO90162|Lukuni_virus	210	AKO90162	Lukuni virus	TRVL 10076	1955	Ochlerotatus scapularis	Trinidad and Tobago	South America	Anopheles A
QLA46942|Lukuni_virus	573	QLA46942	Lukuni virus	ColAn 57389	1976	Vertebrate	Colombia	South America	Anopheles A
APA28997|Lumbo_virus	288	APA28997	Lumbo virus	SAAr 1881	1962	Aedes pembaensis	Mozambique	Africa	California
YP_009666968|Lumbo_virus	688	YP_009666968	Lumbo virus	SAAr 1881	1962	Aedes pembaensis	Mozambique	Africa	California
AEZ35261|Macaua_virus	58	AEZ35261	Macaua virus	BeAr306329	1976	Sabethes soperi	Brazil	South America	Wyeomyia
YP_010085064|Macaua_virus	698	YP_010085064	Macaua virus	BeAr306329	1976	NA	Brazil	South America	Wyeomyia
AHY22333|Madre_de_Dios_virus	126	AHY22333	Madre de Dios virus	FMD 1303	2007	Homo sapiens	Peru	South America	Simbu
AIK67311|Madre_de_Dios_virus	139	AIK67311	Madre de Dios virus	INHRR 17a-10	2010	Cebus sp.	Venezuela: Anzoategui State	South America	Simbu
AGW82138|Madrid_virus	98	AGW82138	Madrid virus	BT4075	1956	Homo sapiens; gender M; age 36	Panama	North America	Group C
AVX48958|Madrid_virus	375	AVX48958	Madrid virus	BT4075	1961	Homo sapiens	Brazil	South America	Group C
QLA46935|Madrid_virus	571	QLA46935	Madrid virus	BT 4075	1961	36 yr male human	Panama	North America	Group C
YP_009362071|Madrid_virus	657	YP_009362071	Madrid virus	BT4075	1956	Homo sapiens; gender M; age 36	Panama	North America	Group C
ARI46622|Maguari_virus	323	ARI46622	Maguari virus	BeAr 7272	1957	mosquito	Brazil	South America	Bunyamwera
ARI46626|Maguari_virus	324	ARI46626	Maguari virus	CoAr 3363	1964	Aedes scapularis	Colombia	South America	Bunyamwera
ARI46634|Maguari_virus	326	ARI46634	Maguari virus	AG83-1746	1982	Psorophora varinervis	Argentina	South America	Bunyamwera
ARI46638|Maguari_virus	327	ARI46638	Maguari virus	OBS 6657	1998	Homo sapiens	Peru	South America	Bunyamwera
ATJ04177|Maguari_virus	363	ATJ04177	Maguari virus	BeAr 7272	1957	mosquito	Brazil: Utinga forest	South America	Bunyamwera
YP_010085104|Maguari_virus	704	YP_010085104	Maguari virus	BeAr 7272	1957	mosquito	Brazil: Utinga forest	South America	Bunyamwera
ALP92135|Mahogany_hammock_virus	256	ALP92135	Mahogany hammock virus	FE4-2s	1964	Culex (Melanoconion) sp.	USA	North America	Guama
AVX27620|Main_Drain_orthobunyavirus	370	AVX27620	Main Drain orthobunyavirus	BFS5015	1964	Culicoides variipennis	USA	North America	Bunyamwera
AXP32030|Main_Drain_virus	427	AXP32030	Main Drain virus	72V2567	1972	Aedes vexans	USA: New Mexico	North America	Bunyamwera
AXP32034|Main_Drain_virus	428	AXP32034	Main Drain virus	R4680	1974	Anopheles freeborni	"USA: Beaver Dam Wash, Arizona"	North America	Bunyamwera
AHY22334|Manzanilla_virus	127	AHY22334	Manzanilla virus	TRVL 3586	1954	Alouatta seniculus	Trinidad and Tobago: Trinidad	South America	Simbu
AKO22295|Manzanilla_virus	203	AKO22295	Manzanilla virus	DHL10M107	2010	Culex tritaeniorhynchus (mosquito)	China	Asia	Simbu
