taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AXP32050|Potosi_virus	432	AXP32050	Potosi virus	89-3380	1989	Aedes albopictus	"USA: Potosi, Missouri"	North America	Bunyamwera
YP_009666985|Potosi_virus	692	YP_009666985	Potosi virus	IL94-1899	1994	Aedes albopictus	USA: Illinois	North America	Bunyamwera
ATB53300|Pueblo_Viejo_virus	353	ATB53300	Pueblo Viejo virus	75V-2621	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
QLA46897|Pueblo_Viejo_virus	562	QLA46897	Pueblo Viejo virus	E4-816	1974	Aedeomyia squamipennis	Ecuador	South America	Gamboa
AKB96246|Restan_virus	187	AKB96246	Restan virus	TRVL 51144	1963	Culex (Melanoconium) sp.	Trinidad and Tobago: Trinidad	South America	Group C
QLA46893|Restan_virus	561	QLA46893	Restan virus	TRVL 51144	1963	Culex sp.	Trinidad and Tobago	South America	Group C
AGX00984|Salt_ash_virus	104	AGX00984	Salt ash virus	931	1992	Aedes vigilax	"Australia: Port Stephens, New South Wales"	Oceania	Mapputta
APA28989|San_Angelo_virus	286	APA28989	San Angelo virus	20230	1958	Anopheles pseudopunctipennis	USA: Texas	North America	California
YP_009666975|San_Angelo_virus	690	YP_009666975	San Angelo virus	20230	1958	Anopheles pseudopunctipennis	USA: Texas	North America	California
QLA47036|San_Juan_virus	594	QLA47036	San Juan virus	75V446	1975	Aedeomyia squamipennis	Ecuador	South America	Gamboa
AXP32054|Santa_Rosa_virus	433	AXP32054	Santa Rosa virus	M2-1493	1972	Ochlerotatus angustivittatus	Mexico: Durango(Santa Rosa)	North America	Bunyamwera
YP_006590073|Sathuperi_orthobunyavirus	644	YP_006590073	Sathuperi orthobunyavirus	NA	1999	Bos taurus	Japan	Asia	Simbu
BCH47627|Schmallenberg_orthobunyavirus	471	BCH47627	Schmallenberg orthobunyavirus	GB/697/2012	2012	Ovis aries	United Kingdom	Europe	Simbu
AGC84160|Schmallenberg_virus	80	AGC84160	Schmallenberg virus	Germany	2011	NA	Germany	Europe	Simbu
AGD94650|Schmallenberg_virus	81	AGD94650	Schmallenberg virus	Na1-CNS	2012	sheep	Belgium	Europe	Simbu
AGD94653|Schmallenberg_virus	82	AGD94653	Schmallenberg virus	Na2-CNS	2012	sheep	Belgium	Europe	Simbu
AGD94654|Schmallenberg_virus	83	AGD94654	Schmallenberg virus	Na2-BHK21-P2	2012	sheep	Belgium	Europe	Simbu
